,单词,TF-IDF权值,TF-IDF权重
0,00,9,0.00750116954434
1,04,1,0.000833463282705
2,05,1,0.000833463282705
3,09854,2,0.00166692656541
4,10,19,0.0158358023714
5,100,1,0.000833463282705
6,101,17,0.014168875806
7,105,1,0.000833463282705
8,1080p,2,0.00166692656541
9,11,15,0.0125019492406
10,1100,2,0.00166692656541
11,12,17,0.014168875806
12,1280,5,0.00416731641352
13,13,2,0.00166692656541
14,14,2,0.00166692656541
15,15,8,0.00666770626164
16,16,8,0.00666770626164
17,1602,1,0.000833463282705
18,165,1,0.000833463282705
19,1680,1,0.000833463282705
20,1698,2,0.00166692656541
21,17,4,0.00333385313082
22,18,12,0.0100015593925
23,180,2,0.00166692656541
24,18000,1,0.000833463282705
25,180427,1,0.000833463282705
26,19,4,0.00333385313082
27,1980,3,0.00250038984811
28,1989,1,0.000833463282705
29,1fyoulovem,5,0.00416731641352
30,20,3,0.00250038984811
31,2000,2,0.00166692656541
32,2001,3,0.00250038984811
33,2002,1,0.000833463282705
34,2003,2,0.00166692656541
35,2004,2,0.00166692656541
36,2005,3,0.00250038984811
37,2008,7,0.00583424297893
38,2010,1,0.000833463282705
39,2011,1,0.000833463282705
40,2012,1,0.000833463282705
41,2014,1,0.000833463282705
42,2016,2,0.00166692656541
43,2017,3,0.00250038984811
44,2018,59,0.0491743336796
45,20180504,1,0.000833463282705
46,20180507,1,0.000833463282705
47,2018easysnatch2018,1,0.000833463282705
48,2018marie,1,0.000833463282705
49,209,1,0.000833463282705
50,21,3,0.00250038984811
51,22,1,0.000833463282705
52,23,8,0.00666770626164
53,24,9,0.00750116954434
54,25,1,0.000833463282705
55,26,10,0.00833463282705
56,2698,1,0.000833463282705
57,27,6,0.00500077969623
58,280,1,0.000833463282705
59,30,3,0.00250038984811
60,300,4,0.00333385313082
61,34,1,0.000833463282705
62,37,1,0.000833463282705
63,380,3,0.00250038984811
64,399,1,0.000833463282705
65,3d,1,0.000833463282705
66,40,1,0.000833463282705
67,421,1,0.000833463282705
68,45,1,0.000833463282705
69,480,3,0.00250038984811
70,50,1,0.000833463282705
71,5000,1,0.000833463282705
72,508,1,0.000833463282705
73,511,3,0.00250038984811
74,512,3,0.00250038984811
75,519,4,0.00333385313082
76,520,1,0.000833463282705
77,58,2,0.00166692656541
78,580,9,0.00750116954434
79,60,5,0.00416731641352
80,615,1,0.000833463282705
81,618,1,0.000833463282705
82,623,1,0.000833463282705
83,666,1,0.000833463282705
84,680,3,0.00250038984811
85,78,1,0.000833463282705
86,780,14,0.0116684859579
87,830,1,0.000833463282705
88,850,1,0.000833463282705
89,88,1,0.000833463282705
90,880,1,0.000833463282705
91,89,1,0.000833463282705
92,90,1,0.000833463282705
93,911,1,0.000833463282705
94,94,1,0.000833463282705
95,980,2,0.00166692656541
96,a2,2,0.00166692656541
97,adx625,1,0.000833463282705
98,ae86,1,0.000833463282705
99,ah,1,0.000833463282705
100,ahymnforyou,1,0.000833463282705
101,aimer,1,0.000833463282705
102,angelababy,6,0.00500077969623
103,annoying,2,0.00166692656541
104,anyone,3,0.00250038984811
105,app,2,0.00166692656541
106,apple,1,0.000833463282705
107,baby,1,0.000833463282705
108,bbox,1,0.000833463282705
109,bgm,1,0.000833463282705
110,bilibili,2,0.00166692656541
111,billboard,1,0.000833463282705
112,bmw,1,0.000833463282705
113,booz,2,0.00166692656541
114,box,1,0.000833463282705
115,breves,2,0.00166692656541
116,but,1,0.000833463282705
117,call,3,0.00250038984811
118,can,1,0.000833463282705
119,carry,2,0.00166692656541
120,casey,2,0.00166692656541
121,cba,1,0.000833463282705
122,china,1,0.000833463282705
123,chou,1,0.000833463282705
124,clarke,2,0.00166692656541
125,cn,5,0.00416731641352
126,come,1,0.000833463282705
127,cr,3,0.00250038984811
128,daddy,3,0.00250038984811
129,dawn,1,0.000833463282705
130,deideidei,1,0.000833463282705
131,did,1,0.000833463282705
132,die,6,0.00500077969623
133,do,1,0.000833463282705
134,dt7q8,1,0.000833463282705
135,dxj,1,0.000833463282705
136,e2008,1,0.000833463282705
137,e7,1,0.000833463282705
138,eason,1,0.000833463282705
139,elie,1,0.000833463282705
140,ellen,1,0.000833463282705
141,f4,3,0.00250038984811
142,fi,2,0.00166692656541
143,film,1,0.000833463282705
144,final,1,0.000833463282705
145,fiona,1,0.000833463282705
146,flag,1,0.000833463282705
147,fm,1,0.000833463282705
148,fms,1,0.000833463282705
149,franci,1,0.000833463282705
150,gai,3,0.00250038984811
151,gay,2,0.00166692656541
152,gbb,1,0.000833463282705
153,gem,3,0.00250038984811
154,get,1,0.000833463282705
155,girl,1,0.000833463282705
156,god,1,0.000833463282705
157,gt,2,0.00166692656541
158,gty2018,1,0.000833463282705
159,h4cgmc,1,0.000833463282705
160,hannah,3,0.00250038984811
161,hannahquinlivan,5,0.00416731641352
162,hearts,2,0.00166692656541
163,hey,1,0.000833463282705
164,hi,1,0.000833463282705
165,hit,1,0.000833463282705
166,hitfm,2,0.00166692656541
167,how,1,0.000833463282705
168,http,3,0.00250038984811
169,hulk,1,0.000833463282705
170,icy,1,0.000833463282705
171,ig,1,0.000833463282705
172,igor,1,0.000833463282705
173,initial,1,0.000833463282705
174,ins,11,0.00916809610975
175,instagram,1,0.000833463282705
176,ipad,1,0.000833463282705
177,it,1,0.000833463282705
178,itunes,1,0.000833463282705
179,jasmine,2,0.00166692656541
180,jay,2,0.00166692656541
181,jaychou,3,0.00250038984811
182,jaycn,7,0.00583424297893
183,jeemartin,1,0.000833463282705
184,jeremylin,5,0.00416731641352
185,jerry,4,0.00333385313082
186,ji,1,0.000833463282705
187,jj,3,0.00250038984811
188,jolin,2,0.00166692656541
189,jordan,1,0.000833463282705
190,jpg,1,0.000833463282705
191,jteam,1,0.000833463282705
192,just,1,0.000833463282705
193,justin,1,0.000833463282705
194,karryon,3,0.00250038984811
195,kevin,1,0.000833463282705
196,key,2,0.00166692656541
197,khs,2,0.00166692656541
198,kkw,1,0.000833463282705
199,last,1,0.000833463282705
200,ldquo,1,0.000833463282705
201,legends,1,0.000833463282705
202,lemontree,1,0.000833463282705
203,li,1,0.000833463282705
