,单词,TF-IDF权值,TF-IDF权重
0,2000,8,0.020268369101
1,21,1,0.00253354613763
2,2s,2,0.00506709227525
3,33919iphone,1,0.00253354613763
4,360,21,0.0532044688901
5,3e,1,0.00253354613763
6,5s,1,0.00253354613763
7,5x,2,0.00506709227525
8,6s,19,0.0481373766149
9,999,1,0.00253354613763
10,ai,1,0.00253354613763
11,android,27,0.0684057457159
12,com,150,0.380031920644
13,e2,1,0.00253354613763
14,edge,3,0.00760063841288
15,galaxy,8,0.020268369101
16,html5,9,0.0228019152386
17,huawei,15,0.0380031920644
18,iiiiphone,1,0.00253354613763
19,intl,7,0.0177348229634
20,ipad,1,0.00253354613763
21,iphone,219,0.55484660414
22,jay,2,0.00506709227525
23,m6s,3,0.00760063841288
24,m8,2,0.00506709227525
25,mac,1,0.00253354613763
26,mate,6,0.0152012768258
27,mx6,1,0.00253354613763
28,note,5,0.0126677306881
29,note4,2,0.00506709227525
30,note5,1,0.00253354613763
31,note8,2,0.00506709227525
32,nova,6,0.0152012768258
33,oneplus,1,0.00253354613763
34,oppo,22,0.0557380150278
35,ourjay,3,0.00760063841288
36,p10,3,0.00760063841288
37,p9,1,0.00253354613763
38,plus,41,0.103875391643
39,pro,1,0.00253354613763
40,qb,1,0.00253354613763
41,qq,10,0.0253354613763
42,r11,8,0.020268369101
43,r15,1,0.00253354613763
44,r7,1,0.00253354613763
45,r7s,1,0.00253354613763
46,r9,4,0.0101341845505
47,r9s,4,0.0101341845505
48,s6,1,0.00253354613763
49,s7,3,0.00760063841288
50,s8,1,0.00253354613763
51,s9,1,0.00253354613763
52,samsung,1,0.00253354613763
53,uc,1,0.00253354613763
54,v10,1,0.00253354613763
55,v9,1,0.00253354613763
56,vivo,17,0.0430702843396
57,vuevideo,1,0.00253354613763
58,weibo,157,0.397766743607
59,x20,1,0.00253354613763
60,x7,1,0.00253354613763
61,x7plus,1,0.00253354613763
62,x9,8,0.020268369101
63,x9s,1,0.00253354613763
64,x9splus,1,0.00253354613763
65,万人迷,1,0.00253354613763
66,三星,8,0.020268369101
67,下乡,1,0.00253354613763
68,专业,2,0.00506709227525
69,专业版,2,0.00506709227525
70,九岁,1,0.00253354613763
71,人工,2,0.00506709227525
72,人工智能,2,0.00506709227525
73,今日,1,0.00253354613763
74,传递,2,0.00506709227525
75,伦比,1,0.00253354613763
76,光机,7,0.0177348229634
77,全面,2,0.00506709227525
78,八万,1,0.00253354613763
79,公元,1,0.00253354613763
80,分享,6,0.0152012768258
81,前后,8,0.020268369101
82,前置,10,0.0253354613763
83,华为,3,0.00760063841288
84,博客,1,0.00253354613763
85,即刻,3,0.00760063841288
86,发布,1,0.00253354613763
87,可爱,1,0.00253354613763
88,周杰伦,1,0.00253354613763
89,哥哥,1,0.00253354613763
90,大屏幕,2,0.00506709227525
91,大明,3,0.00760063841288
92,大自然,1,0.00253354613763
93,大运,1,0.00253354613763
94,大麦,2,0.00506709227525
95,头条,1,0.00253354613763
96,守护,2,0.00506709227525
97,安全,21,0.0532044688901
98,官方,2,0.00506709227525
99,客户,153,0.387632559057
100,客户端,153,0.387632559057
101,家电,1,0.00253354613763
102,小米,13,0.0329360997891
103,屏幕,2,0.00506709227525
104,广告,1,0.00253354613763
105,得有,2,0.00506709227525
106,快乐,2,0.00506709227525
107,想要,1,0.00253354613763
108,手机,27,0.0684057457159
109,投稿,1,0.00253354613763
110,担当,2,0.00506709227525
111,按钮,5,0.0126677306881
112,换来,1,0.00253354613763
113,搜狗,2,0.00506709227525
114,搞笑,1,0.00253354613763
115,摄影,1,0.00253354613763
116,斯塔,1,0.00253354613763
117,新浪,7,0.0177348229634
118,新浪博,1,0.00253354613763
119,新浪网,6,0.0152012768258
120,无与伦比,1,0.00253354613763
121,日头,1,0.00253354613763
122,时光,7,0.0177348229634
123,明星,3,0.00760063841288
124,智能,9,0.0228019152386
125,智能手机,7,0.0177348229634
126,有声,2,0.00506709227525
127,有声有色,2,0.00506709227525
128,有色,2,0.00506709227525
129,来源,1,0.00253354613763
130,柔光,2,0.00506709227525
131,桌面,1,0.00253354613763
132,浏览,24,0.060805107303
133,浏览器,24,0.060805107303
134,热爱,1,0.00253354613763
135,热门,1,0.00253354613763
136,照片,1,0.00253354613763
137,玫瑰,1,0.00253354613763
138,球衣,1,0.00253354613763
139,电脑,1,0.00253354613763
140,百度,2,0.00506709227525
141,皇帝,1,0.00253354613763
142,皮皮,7,0.0177348229634
143,私信,1,0.00253354613763
144,突破,1,0.00253354613763
145,笔记,3,0.00760063841288
146,经济,1,0.00253354613763
147,经济网,1,0.00253354613763
148,续航,1,0.00253354613763
149,网易,2,0.00506709227525
150,网页,70,0.177348229634
151,美图,5,0.0126677306881
152,美得,2,0.00506709227525
153,老年,1,0.00253354613763
154,能手,7,0.0177348229634
155,腾讯,2,0.00506709227525
156,自然,1,0.00253354613763
157,荣耀,7,0.0177348229634
158,莉斯,1,0.00253354613763
159,视野,1,0.00253354613763
160,视频,2,0.00506709227525
161,话题,20,0.0506709227525
162,连音,1,0.00253354613763
163,遇见,1,0.00253354613763
164,金色,1,0.00253354613763
165,青春,3,0.00760063841288
166,音乐,13,0.0329360997891
167,高速,2,0.00506709227525
168,黄老邪,1,0.00253354613763
169,黑色,1,0.00253354613763
